size, time
51826688,77418.617188
51826688,77418.679688
51826688,77418.742188
51826688,77418.804688
51826688,77418.882812
51826688,77418.945312
51826688,77419.007812
51826688,77419.070312
51826688,77419.132812
51826688,77419.203125
51826688,77419.265625
51826688,77419.328125
51826688,77419.390625
51826688,77419.460938
51826688,77419.531250
51826688,77419.593750
51826688,77419.656250
51826688,77419.718750
51826688,77419.789062
51826688,77419.859375
51826688,77419.921875
51826688,77419.984375
51826688,77420.046875
51826688,77420.117188
51826688,77420.187500
51826688,77420.250000
51826688,77420.312500
51826688,77420.375000
51826688,77420.445312
51826688,77420.515625
51826688,77420.578125
51826688,77420.640625
51826688,77420.703125
51826688,77420.773438
51826688,77420.843750
51826688,77420.906250
51826688,77420.968750
51826688,77421.039062
51826688,77421.101562
51826688,77421.171875
51826688,77421.234375
51826688,77421.296875
51826688,77421.359375
51826688,77421.421875
51826688,77421.484375
51826688,77421.554688
51826688,77421.625000
51826688,77421.687500
51826688,77421.750000
51826688,77421.812500
51826688,77421.882812
51826688,77421.945312
51826688,77422.007812
51826688,77422.078125
51826688,77422.140625
51826688,77422.210938
51826688,77422.273438
51826688,77422.335938
51826688,77422.398438
51826688,77422.460938
51826688,77422.531250
51826688,77422.593750
51826688,77422.664062
51826688,77422.726562
51826688,77422.789062
51826688,77422.859375
51826688,77422.921875
51826688,77422.984375
51826688,77423.046875
51826688,77423.117188
51826688,77423.187500
51826688,77423.250000
51826688,77423.312500
51826688,77423.375000
51826688,77423.437500
51826688,77423.507812
51826688,77423.570312
51826688,77423.632812
51826688,77423.687500
51826688,77423.750000
51826688,77423.812500
51826688,77423.890625
51826688,77423.953125
51826688,77424.015625
51826688,77424.078125
51826688,77424.140625
51826688,77424.218750
51826688,77424.281250
51826688,77424.343750
51826688,77424.406250
51826688,77424.476562
51826688,77424.546875
51826688,77424.609375
51826688,77424.671875
51826688,77424.734375
51826688,77424.796875
51826688,77424.875000
51826688,77424.937500
51826688,77425.000000
51826688,77425.062500
51826688,77425.125000
51826688,77425.195312
51826688,77425.257812
51826688,77425.328125
51826688,77425.390625
51826688,77425.453125
51826688,77425.523438
51826688,77425.585938
51826688,77425.648438
51826688,77425.710938
51826688,77425.773438
51826688,77425.851562
51826688,77425.914062
51826688,77425.976562
51826688,77426.039062
51826688,77426.101562
51826688,77426.171875
51826688,77426.242188
51826688,77426.304688
51826688,77426.367188
51826688,77426.429688
51826688,77426.492188
51826688,77426.562500
51826688,77426.625000
51826688,77426.687500
51826688,77426.750000
51826688,77426.820312
51826688,77426.890625
51826688,77426.953125
51826688,77427.015625
51826688,77427.078125
51826688,77427.140625
51826688,77427.218750
51826688,77427.281250
51826688,77427.343750
51826688,77427.406250
51826688,77427.468750
51826688,77427.539062
51826688,77427.601562
51826688,77427.664062
51826688,77427.710938
51826688,77427.781250
51826688,77427.851562
51826688,77427.914062
51826688,77427.976562
51826688,77428.046875
51826688,77428.109375
51826688,77428.179688
51826688,77428.242188
51826688,77428.304688
51826688,77428.375000
51826688,77428.437500
51826688,77428.507812
51826688,77428.570312
51826688,77428.640625
51826688,77428.703125
51826688,77428.773438
51826688,77428.843750
51826688,77428.906250
51826688,77428.968750
51826688,77429.039062
51826688,77429.101562
51826688,77429.171875
51826688,77429.234375
51826688,77429.296875
51826688,77429.359375
51826688,77429.421875
51826688,77429.484375
51826688,77429.562500
51826688,77429.625000
51826688,77429.687500
51826688,77429.750000
51826688,77429.812500
51826688,77429.882812
51826688,77429.945312
51826688,77430.015625
51826688,77430.078125
51826688,77430.140625
51826688,77430.210938
51826688,77430.273438
51826688,77430.335938
51826688,77430.398438
51826688,77430.460938
51826688,77430.539062
51826688,77430.601562
51826688,77430.664062
51826688,77430.726562
51826688,77430.789062
51826688,77430.859375
51826688,77430.921875
51826688,77430.992188
51826688,77431.054688
51826688,77431.117188
51826688,77431.187500
51826688,77431.250000
51826688,77431.312500
51826688,77431.375000
51826688,77431.437500
51826688,77431.507812
51826688,77431.578125
51826688,77431.640625
51826688,77431.687500
51826688,77431.750000
51826688,77431.812500
51826688,77431.890625
51826688,77431.953125
51826688,77432.015625
51826688,77432.078125
51826688,77432.140625
51826688,77432.210938
51826688,77432.281250
51826688,77432.343750
51826688,77432.406250
51826688,77432.468750
51826688,77432.546875
51826688,77432.609375
51826688,77432.671875
51826688,77432.734375
51826688,77432.796875
51826688,77432.867188
51826688,77432.937500
51826688,77433.000000
51826688,77433.062500
51826688,77433.125000
51826688,77433.195312
51826688,77433.257812
51826688,77433.328125
51826688,77433.390625
51826688,77433.453125
51826688,77433.523438
51826688,77433.585938
51826688,77433.648438
51826688,77433.710938
51826688,77433.773438
51826688,77433.843750
51826688,77433.914062
51826688,77433.976562
51826688,77434.039062
51826688,77434.101562
51826688,77434.171875
51826688,77434.234375
51826688,77434.304688
51826688,77434.367188
51826688,77434.429688
51826688,77434.492188
51826688,77434.562500
51826688,77434.625000
51826688,77434.687500
51826688,77434.750000
51826688,77434.812500
51826688,77434.890625
51826688,77434.953125
51826688,77435.015625
51826688,77435.078125
51826688,77435.140625
51826688,77435.210938
51826688,77435.273438
51826688,77435.343750
51826688,77435.406250
51826688,77435.468750
51826688,77435.539062
